ID_PROD_UNID_FAT,QTD_FINAL_V33,NEC_DIRETA_PCS_V33,NEC_ESTRUTURAL_BRUTA_PCS_V33,ESTOQUE_ESTRUTURAL_CONSUMIDO_PCS_V33,NEC_ESTRUTURAL_PCS_V33,NEC_TOTAL_PCS_V33,QTD_PRODUZIR_DIRETA_SOLVER_V33,QTD_PRODUZIR_ESTRUTURAL_SOLVER_V33,DIF_FALTA_PAI_FILHO_V33,DIF_SOBRA_PAI_FILHO_V33
AGO26|CENTRO-OESTE|0024,28552.0,28552.0,0.0,0.0,0.0,28552.0,28552.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0027,3070.0,3070.0,0.0,0.0,0.0,3070.0,3070.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0032,12228.0,12228.0,0.0,0.0,0.0,12228.0,12228.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0033,11944.0,11944.0,0.0,0.0,0.0,11944.0,11944.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0034,790.0,790.0,0.0,0.0,0.0,790.0,790.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0035,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0102,6314.088495495468,7095.0,0.0,0.0,0.0,7095.0,6314.088495495468,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0103,57075.97824645551,64135.0,0.0,0.0,0.0,64135.0,57075.97824645551,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0104,3001.750598351827,3373.0,0.0,0.0,0.0,3373.0,3001.750598351827,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
